"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"PhyloPythiaS+  c400",81.37,5.94,85.81,5,92.05,4.55,"family"
"PhyloPythiaS+  c400",56.88,6.84,54.69,6.69,66.76,23.2,"genus"
"PhyloPythiaS+  c400",10.25,5.43,11.13,5.47,19.35,55.42,"species"
"Kraken 0.10.5 ",49.67,7.05,98.13,1.32,96.43,0.41,"superkingdom"
"Kraken 0.10.5 ",36.25,6.85,64.87,5.29,94.44,1.23,"phylum"
"Kraken 0.10.5 ",26.67,6.58,72.75,4.95,92.35,2.17,"class"
"Kraken 0.10.5 ",26.63,6.54,72.62,5,90.66,3.14,"order"
"Kraken 0.10.5 ",29.57,6.58,67.07,5.78,84.22,7.62,"family"
"Kraken 0.10.5 ",15.89,5.88,45.45,6.55,64.64,23.38,"genus"
"Kraken 0.10.5 ",0.79,2.95,5.24,4.58,11.69,61.8,"species"
