"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"PhyloPythiaS+ mg c200",81.37,6.15,24.61,4.36,26.47,2.4,"family"
"PhyloPythiaS+ mg c200",61.33,6.95,17.15,4.5,17.18,6.03,"genus"
"PhyloPythiaS+ mg c200",29.4,6.72,8.19,3.8,7.5,9.39,"species"
"Kraken 0.10.5 ",74.94,6.58,61.23,6.31,88.06,0.18,"superkingdom"
"Kraken 0.10.5 ",23.01,6.48,85.23,3.78,87.29,0.53,"phylum"
"Kraken 0.10.5 ",28.5,6.65,76.92,4.97,86.41,0.98,"class"
"Kraken 0.10.5 ",28.7,6.64,79.04,5.29,85.56,1.42,"order"
"Kraken 0.10.5 ",23.28,6.38,72.55,5.86,77.09,7.43,"family"
"Kraken 0.10.5 ",9.81,5.4,58.96,6.63,65.45,15.65,"genus"
"Kraken 0.10.5 ",2.68,3.99,35.51,6.75,36.55,41.12,"species"
