"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..genes"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"fervent_blackwell_0 broken"	125	79	56	33	12	2356310	2243259	2087407	1710793	951732	132	152597	2360985	2399538	35.59	35.62	44990	"41782"	21950	"20978"	17	"18"	36	"37"	1	1	5938	2	"0 + 0 part"	0	98.36	1	0.76	2.88	0.93	"5948 + 235 part"	"2384"	"2387"	"2067"	"249"	"15"	152417	"41636"	41100	"20221"	"19743"	"17"	"18"	"39"	"40"	"1030782"	"Tetragenococcus halophilus subsp. halophilus DSM 20339"	2399538	280400	13.0215	35.62	"uniq"	" 2388"	"4"	0.423552034426309	1.21982985914777e-06	17.5283742120358	0.0073293103030303
"fervent_blackwell_0 broken"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	"1030800"	"Alysiella filiformis DSM 16848"	2385602	3370	0.154228	46.6	"uniq"	NA	"4"	NA	NA	0.211896200623574	NA
"fervent_blackwell_0 broken"	202	151	113	58	15	4042501	3913522	3628609	2647070	1099806	217	127758	4053013	4089718	67.79	67.74	35319	"35319"	21112	"21072"	38	"38"	76	"77"	3	3	51941	0	"0 + 2 part"	89	98.972	1.001	0	4.35	0.02	"8023 + 423 part"	"3895"	"3895"	"3565"	"504"	"47"	127758	"35069"	34263	"21112"	"21072"	"38"	"39"	"77"	"78"	"1030806"	"Diaphorobacter oryzae DSM 22780"	4089718	2402112	57.9504	67.74	"uniq"	" 3741"	"4"	0.740190075876885	1.07327561002148e-06	88.1030917046114	0.0045140353843318
"fervent_blackwell_0 broken"	1	0	0	0	0	1015	0	0	0	0	101	1015	60617	3985519	60.48	61.41	579	NA	541	NA	45	NA	72	NA	0	0	0	1	"0 + 3 part"	1155	1.49	1.001	0	87.55	1.68	"28 + 270 part"	"131"	"131"	"84"	"0"	"0"	1015	"575"	0	"533"	NA	"46"	NA	"73"	NA	"1030812"	"Desulfovibrio vietnamensis DSM 10520"	3985519	77676	2.0503	61.41	"uniq"	" 3503"	"4"	0	0.00144431430126862	2.92343356034685	2.19811881188119e-06
"fervent_blackwell_0 broken"	9	9	9	8	7	1530324	1530324	1530324	1509773	1483270	10	397640	1530940	1534155	35.97	35.98	209614	"209614"	197416	"197416"	3	"3"	5	"5"	2	2	595056	0	"0 + 0 part"	0	99.779	1	0	0	0	"2977 + 32 part"	"1521"	"1521"	"1335"	"178"	"22"	314998	"209614"	202680	"105231"	"105231"	"3"	"4"	"6"	"6"	"1030869"	"Picrophilus oshimae DSM 9789"	1534155	1228156	79.1885	35.98	"uniq"	" 1590"	"4"	1.30638692567965	0	120.081347712584	0.09955848841
"fervent_blackwell_0 broken"	72	60	53	40	26	3275208	3243100	3194941	2959663	2428005	87	232111	3285525	3304362	69.99	69.97	76750	"76750"	47346	"47070"	14	"14"	27	"28"	1	1	232111	2	"0 + 1 part"	41	99.383	1	2.43	11.57	2.41	"7121 + 211 part"	"3242"	"3244"	"2896"	"445"	"37"	222318	"73285"	73285	"47070"	"46192"	"15"	"15"	"28"	"29"	"1030881"	"Phenylobacterium composti DSM 19425"	3304362	410112	12.508	69.97	"uniq"	" 3163"	"4"	0.304365360178358	3.5215072172636e-06	18.6168464593165	0.0113528513666667
"fervent_blackwell_0 broken"	387	203	92	12	2	2910334	2428201	1638429	412494	112747	457	60233	2961544	2985908	64.56	64.53	11659	"11605"	6183	"6078"	78	"79"	166	"169"	0	0	0	0	"0 + 0 part"	0	98.643	1.005	0	2.17	0	"5882 + 894 part"	"3251"	"3252"	"2753"	"362"	"26"	60233	"11659"	11605	"6183"	"6078"	"78"	"79"	"166"	"169"	"1030896"	"Sphingomonas aestuarii DSM 19475"	2985908	11146056	425.09	64.53	"uniq"	" 2877"	"4"	0	7.32725902434676e-07	559.932991907319	0.00212919944179431
"fervent_blackwell_0 broken"	59	49	44	34	21	3079018	3049971	3020692	2845246	2358259	69	244933	3086345	3112020	64.51	64.48	98753	"98753"	50344	"50344"	10	"10"	21	"21"	4	3	439954	0	"0 + 0 part"	0	99.158	1	0	1.26	0.03	"4096 + 86 part"	"2876"	"2878"	"2572"	"450"	"37"	244933	"85877"	85877	"49800"	"46403"	"10"	"10"	"22"	"23"	"1030905"	"Desulfovibrio alkalitolerans DSM 16529"	3112020	1928408	64.3343	64.48	"uniq"	" 2855"	"4"	1.29603138988026	4.08249887812283e-07	92.9496597065572	0.0142497231362319
"fervent_blackwell_0 broken"	196	129	100	62	30	4584449	4395276	4199260	3568287	2353182	207	176900	4592346	4635841	45.14	45.15	51628	"51294"	27742	"27446"	29	"30"	58	"59"	6	6	187447	4	"0 + 0 part"	0	99.004	1.001	2.57	2.53	2.94	"7886 + 376 part"	"4163"	"4164"	"3709"	"608"	"52"	156903	"42407"	40812	"22383"	"21618"	"32"	"33"	"68"	"70"	"1030968"	"Vibrio gazogenes DSM 21264"	4635841	493568	10.9459	45.15	"uniq"	" 4130"	"4"	1.30652176469282	5.50916677445471e-07	15.9701767165871	0.00473516522512077
"fervent_blackwell_0 broken"	341	149	78	14	1	2466379	1978167	1473765	490646	55440	391	55440	2504251	2553407	32.11	32.12	12318	"11953"	5735	"5478"	58	"60"	131	"138"	8	7	65707	6	"0 + 1 part"	80	97.927	1.002	5.23	6.52	4.28	"5288 + 871 part"	"2384"	"2384"	"2065"	"257"	"31"	54981	"12068"	11786	"5663"	"5461"	"59"	"61"	"134"	"141"	"1035906"	"[Eubacterium] yurii"	2553407	215480	8.48067	32.12	"uniq"	" 2165"	"4"	3.19456795664652	2.60357288466691e-06	12.6583815271126	0.00245260801253197
"fervent_blackwell_0 broken"	19	4	4	1	0	105423	84750	84750	36129	0	84	36129	146077	2814227	33.09	33.35	14455	NA	832	NA	4	NA	24	NA	0	0	0	0	"0 + 0 part"	0	5.176	1.003	0	29.52	0	"201 + 235 part"	"202"	"202"	"147"	"13"	"1"	36129	"14455"	0	"832"	NA	"4"	NA	"24"	NA	"1035921"	"Acetoanaerobium noterae"	2814227	718914	27.7717	33.35	"strain"	" 2719"	"4"	0	0.000202085201640231	38.3185507068193	3.1894019047619e-05
"fervent_blackwell_0 broken"	14	7	7	7	7	1573983	1564205	1564205	1564205	1564205	19	418160	1577443	1600172	31.22	31.26	403993	"403993"	148500	"148500"	2	"2"	4	"4"	3	2	391937	1	"0 + 0 part"	0	98.54	1	0.57	0.7	0.44	"3181 + 43 part"	"1436"	"1436"	"1307"	"228"	"29"	418160	"403883"	403883	"106679"	"106679"	"2"	"2"	"5"	"5"	"1035939"	"Acholeplasma oculi"	1600172	316454	19.4971	31.26	"uniq"	" 1474"	"4"	1.90181198306373	4.43756129381537e-07	29.6643735798402	0.0511059557894737
"fervent_blackwell_0 broken"	93	66	59	40	15	2690864	2628942	2578969	2251278	1299842	101	158358	2696230	2736206	50.68	50.69	46925	"46925"	32459	"32358"	17	"17"	32	"33"	3	2	88640	0	"0 + 0 part"	0	98.519	1	0.22	1.15	0.22	"4991 + 85 part"	"2561"	"2561"	"2186"	"375"	"44"	158358	"46925"	46599	"32358"	"31342"	"17"	"18"	"33"	"34"	"1035951"	"Nitrosomonas europaea"	2736206	512126	18.504	50.69	"uniq"	" 2640"	"4"	1.1126647207397	4.26521476283551e-07	28.0749695015653	0.00960989441683168
"fervent_blackwell_0 broken"	59	42	40	30	24	3577221	3537239	3520668	3340757	3090354	71	326227	3586233	3611124	40.48	40.5	125421	"125421"	69514	"69514"	9	"9"	18	"18"	8	7	692295	13	"0 + 0 part"	0	99.281	1.001	1.59	2.29	1.65	"7871 + 178 part"	"3172"	"3173"	"2813"	"483"	"73"	326227	"113140"	113140	"57817"	"57817"	"10"	"10"	"21"	"21"	"1035969"	"Legionella maceachernii"	3611124	1076320	30.4241	40.5	"uniq"	" 3260"	"4"	2.23075299346138	6.38553044378321e-07	44.7085173480612	0.0138826999450704
"fervent_blackwell_0 broken"	43	27	25	22	14	2026176	1985928	1972819	1922735	1631943	46	216615	2028537	2046131	45.31	45.33	132063	"116584"	59301	"59301"	6	"7"	13	"13"	5	5	279666	1	"0 + 0 part"	0	99.101	1.001	0.74	1.04	1.28	"5159 + 149 part"	"1687"	"1687"	"1518"	"308"	"37"	216615	"72412"	72412	"46213"	"46213"	"8"	"8"	"16"	"16"	"1035981"	"Porphyromonas crevioricanis"	2046131	264458	13.0299	45.33	"uniq"	" 1745"	"4"	2.46483056508213	5.12684757537082e-07	19.3871751124439	0.0213500178282609
"fervent_blackwell_0 broken"	57	39	37	31	22	2760951	2716397	2699277	2593038	2243117	69	272426	2770890	2791217	28.53	28.57	93443	"93443"	55716	"53890"	10	"10"	19	"20"	3	3	295333	1	"0 + 0 part"	0	99.238	1	1.15	1.52	1.26	"6737 + 156 part"	"2706"	"2708"	"2378"	"347"	"25"	272426	"87207"	82213	"50391"	"50391"	"10"	"11"	"21"	"21"	"1035993"	"Clostridium tetani"	2791217	337690	13.8097	28.57	"uniq"	" 2744"	"4"	1.08268462479564	5.48560209896459e-07	18.1474604088468	0.0142727255710145
"fervent_blackwell_0 broken"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	"1036011"	"Prevotella oulorum"	2840943	6160	0.226483	46.76	"uniq"	NA	"4"	NA	NA	0.325244117886209	NA
"fervent_blackwell_0 broken"	6	0	0	0	0	7222	0	0	0	0	398	1583	251276	3583033	35.43	35.66	614	NA	544	NA	169	NA	278	NA	2	2	1526	0	"0 + 4 part"	1107	6.964	1.003	0	15.23	0	"90 + 1123 part"	"504"	"504"	"334"	"0"	"0"	1583	"611"	0	"543"	NA	"170"	NA	"279"	NA	"1036557"	"Lutispora thermophila DSM 19022"	3583033	89504	2.60858	35.66	"uniq"	" 3453"	"4"	7.95937534822267	6.06106432767156e-05	3.74699312007453	1.21852502512563e-05
"fervent_blackwell_0 broken"	146	104	80	38	13	2898391	2794360	2622463	1940945	1046884	153	142485	2904128	2952162	47.39	47.31	39475	"39475"	19570	"18368"	23	"23"	49	"51"	6	6	149145	3	"0 + 0 part"	0	98.36	1	0.48	1.24	0.52	"6590 + 155 part"	"3100"	"3101"	"2470"	"294"	"25"	142485	"34996"	34360	"19570"	"18368"	"23"	"24"	"51"	"53"	"1036566"	"Bacillus coagulans DSM 1 = ATCC 7050"	2952162	725666	24.3925	47.31	"uniq"	" 2991"	"4"	2.06602463803248	4.2697842519338e-07	36.8712489355259	0.00632332653594771
"fervent_blackwell_0 broken"	97	62	50	33	18	2462120	2381665	2296446	1966408	1406297	106	126529	2468620	2489535	51.06	51.06	60559	"60559"	31906	"27710"	16	"16"	29	"30"	9	8	375939	1	"0 + 0 part"	0	99.137	1	0.93	1.58	0.49	"4678 + 160 part"	"2099"	"2099"	"1873"	"283"	"29"	126529	"47273"	47261	"25071"	"25071"	"16"	"17"	"34"	"34"	"1036614"	"Ferrithrix thermotolerans DSM 19514"	2489535	508402	21.8984	51.06	"uniq"	" 2381"	"4"	3.64576159959816	6.40033703040565e-07	30.6323470045611	0.00927183468773585
"fervent_blackwell_0 broken"	192	122	78	27	7	2395707	2209068	1898529	1129864	460599	202	80999	2403342	2460837	29.59	29.64	21604	"21105"	11261	"11019"	31	"32"	70	"74"	4	4	120283	0	"0 + 0 part"	0	97.604	1.001	0.92	3.87	0.54	"5703 + 270 part"	"2397"	"2400"	"2054"	"278"	"22"	80999	"21092"	20715	"11222"	"10827"	"32"	"33"	"72"	"76"	"1036629"	"Caloranaerobacter azorensis DSM 13643"	2460837	522732	24.6175	29.64	"uniq"	" 2529"	"4"	1.66434906059978	1.61025771613029e-06	31.863061226729	0.00471610931485148
"fervent_blackwell_0 broken"	51	40	36	27	21	3243486	3216198	3183524	3026384	2789877	53	542539	3245166	3270841	54.14	54.11	106967	"106967"	74594	"74594"	7	"7"	16	"16"	6	5	389184	2	"0 + 0 part"	0	99.161	1.001	1.69	3.05	1.26	"6488 + 127 part"	"3148"	"3148"	"2746"	"398"	"41"	542539	"106967"	106967	"55729"	"55729"	"7"	"7"	"17"	"17"	"1036635"	"Butyricicoccus pullicaecorum DSM 23266"	3270841	791640	26.6186	54.11	"uniq"	" 3117"	"4"	1.84890387733632	9.39859470979297e-07	36.3044244584191	0.0185526489075472
"fervent_blackwell_0 broken"	119	63	54	39	29	4435016	4300870	4234333	3963789	3612803	129	458643	4441988	4474501	29.28	29.32	108207	"108207"	69664	"65672"	12	"12"	24	"25"	10	9	691613	1	"0 + 0 part"	0	99.209	1.001	1.01	0.54	1.13	"8673 + 266 part"	"4232"	"4232"	"3640"	"567"	"45"	458643	"95671"	95671	"53613"	"50957"	"13"	"13"	"27"	"28"	"1036680"	"Clostridium grantii DSM 8605"	4474501	1177642	25.9907	29.32	"uniq"	" 4226"	"4"	2.251244262704	1.21567190186016e-07	39.4784356959581	0.0076297873496124
"fervent_blackwell_0 broken"	101	77	69	51	34	4806875	4740598	4684396	4381183	3692960	108	192806	4812375	4836996	39.65	39.66	109289	"109289"	51480	"51480"	17	"17"	33	"33"	8	7	672438	5	"0 + 0 part"	0	99.051	1.005	1.45	0.98	1.44	"8968 + 168 part"	"4091"	"4112"	"3729"	"720"	"56"	192806	"83601"	83601	"51480"	"50308"	"19"	"19"	"36"	"37"	"1036683"	"Butyrivibrio fibrisolvens DSM 3071"	4836996	687638	14.1477	39.66	"uniq"	" 4094"	"4"	1.66238084106081	2.03641653029949e-07	21.3243302247924	0.00908435240833333
"fervent_blackwell_0 broken"	63	49	47	35	26	3360252	3324409	3307966	3069774	2720872	63	279195	3360252	3394420	39.87	39.9	95072	"95072"	59200	"59200"	12	"12"	23	"23"	2	2	167306	4	"0 + 0 part"	0	98.981	1	1.73	2.74	1.93	"6890 + 155 part"	"3070"	"3071"	"2774"	"524"	"42"	279195	"95072"	95072	"59199"	"55459"	"12"	"12"	"23"	"24"	"1036695"	"Butyrivibrio hungatei DSM 14810"	3394420	398764	12.0329	39.9	"uniq"	" 3048"	"4"	0.595193455728916	8.15415034348614e-07	17.621449319766	0.0155511720015873
"fervent_blackwell_0 broken"	91	61	49	24	8	2197325	2122495	2048536	1659893	1037428	102	362897	2205501	2233018	27.79	27.84	49556	"49556"	25189	"23969"	10	"10"	24	"25"	0	0	0	0	"0 + 0 part"	0	98.712	1.001	0	1.41	0	"5547 + 250 part"	"2237"	"2238"	"1912"	"284"	"26"	362897	"49556"	49556	"25189"	"23969"	"10"	"10"	"24"	"25"	"1036701"	"Tepidibacter thalassicus DSM 15285"	2233018	1128212	51.5648	27.84	"uniq"	" 2273"	"4"	0	6.3931052400339e-07	75.7861333854004	0.00955299896470588
"fervent_blackwell_0 broken"	118	103	86	50	24	4115536	4083478	3961694	3349269	2469521	120	377237	4116657	4151980	48.25	48.23	64213	"64213"	28888	"28359"	17	"17"	41	"42"	4	4	257409	0	"0 + 0 part"	0	99.121	1	0	0.9	0	"8680 + 171 part"	"3867"	"3867"	"3450"	"502"	"40"	377237	"55772"	55772	"28888"	"28359"	"18"	"18"	"43"	"44"	"1036704"	"Propionispora hippei DSM 15287"	4151980	3553688	96.3574	48.23	"uniq"	" 3917"	"4"	0.971662200664277	2.18623995149462e-07	128.385300507228	0.00818747720083333
"fervent_blackwell_0 broken"	116	78	63	39	15	2576499	2487274	2377208	1958210	1100800	134	145918	2590017	2627109	49.53	49.51	42241	"42241"	25192	"24872"	20	"20"	39	"40"	3	3	192032	2	"0 + 0 part"	0	98.552	1	1.89	6.03	2.12	"6042 + 310 part"	"2596"	"2597"	"2201"	"308"	"23"	95894	"39645"	39361	"24872"	"23131"	"21"	"22"	"41"	"43"	"1036716"	"Desulfotomaculum hydrothermale Lam5 = DSM 18033"	2627109	310440	13.5518	49.51	"uniq"	" 2620"	"4"	1.15829355560214	2.32817004676031e-06	17.7251876492372	0.00724813186865672
"fervent_blackwell_0 broken"	58	38	34	27	14	2450533	2399750	2370021	2250239	1765071	65	414632	2455532	2473383	28.52	28.57	107613	"107613"	44433	"44433"	7	"7"	16	"16"	2	2	31459	1	"0 + 1 part"	51	99.183	1.001	0.65	1.51	0.65	"6058 + 158 part"	"2367"	"2367"	"2034"	"313"	"31"	414632	"107613"	107613	"44433"	"44433"	"7"	"7"	"16"	"16"	"1036731"	"Caminicella sporogenes DSM 14501"	2473383	321180	14.2013	28.57	"uniq"	" 2372"	"4"	0.81448745119184	6.14938025649839e-07	19.4781802899106	0.0151342576753846
"fervent_blackwell_0 broken"	73	61	53	37	22	2924253	2894676	2843163	2591459	2011423	77	221828	2927360	2938633	28.61	28.63	76907	"76907"	43212	"43063"	14	"14"	26	"27"	1	1	19342	0	"0 + 0 part"	0	99.603	1	1.71	1.78	1.71	"5110 + 169 part"	"2705"	"2706"	"2443"	"328"	"35"	181834	"65401"	65401	"40374"	"40060"	"15"	"15"	"29"	"30"	"1036782"	"Intestinibacter bartlettii DSM 16795"	2938633	324110	12.1127	28.63	"uniq"	" 2676"	"4"	0.341604722343682	6.08056405771753e-07	16.5439168484122	0.0128841007909091
"fervent_blackwell_0 broken"	126	111	96	63	37	4955162	4910387	4794724	4234930	3302307	133	172920	4959884	4983771	60.51	60.5	75822	"75822"	39307	"39244"	23	"23"	47	"48"	2	2	84475	2	"0 + 0 part"	0	99.472	1.001	0	1.35	0.16	"9117 + 192 part"	"4653"	"4654"	"4181"	"671"	"79"	172920	"75822"	75822	"39307"	"39244"	"23"	"23"	"47"	"48"	"1036785"	"Ferrimonas marina"	4983771	6524570	128.411	60.5	"uniq"	" 4648"	"4"	0.403235236953122	2.72183784943358e-07	196.374492327196	0.00743960810827068
"fervent_blackwell_0 broken"	241	155	117	56	18	4068996	3845667	3597375	2550335	1236404	262	110249	4083819	4131007	66.71	66.67	34572	"34572"	18629	"18269"	39	"39"	80	"82"	21	19	637488	5	"0 + 1 part"	473	98.784	1.001	2.08	6.08	2.28	"8414 + 442 part"	"3757"	"3757"	"3294"	"556"	"91"	110249	"26701"	26163	"16190"	"15604"	"45"	"46"	"93"	"95"	"1036800"	"Tessaracoccus bendigoensis DSM 12906"	4131007	453954	12.6212	66.67	"uniq"	" 3758"	"4"	5.14224553047038	1.48880251548857e-06	16.4834143345678	0.00372453383816794
"fervent_blackwell_0 broken"	1008	316	120	6	0	4848560	3268817	1860343	193446	0	1234	38472	5015115	5165242	67.87	67.84	7841	"7415"	3389	"3069"	193	"203"	436	"471"	4	4	7464	15	"0 + 2 part"	272	96.905	1.002	6.92	24.01	5.09	"5602 + 1663 part"	"5399"	"5403"	"4503"	"483"	"45"	38470	"7841"	7414	"3389"	"3050"	"193"	"203"	"436"	"471"	"1036803"	"Pseudoxanthobacter soli DSM 19599"	5165242	420968	8.30303	67.84	"uniq"	" 4337"	"4"	0.79758888878919	4.78752730495712e-06	12.2250225642864	0.000760986955024311
"fervent_blackwell_0 broken"	270	189	155	100	63	9630868	9422407	9185524	8227906	6904704	319	995410	9666287	9745282	69.07	69.05	83097	"81602"	42289	"40497"	31	"32"	71	"73"	12	11	508785	8	"0 + 2 part"	1722	99.081	1.001	2.02	6.27	1.93	"13920 + 390 part"	"9253"	"9261"	"8099"	"1224"	"154"	995410	"81154"	79169	"38228"	"37422"	"32"	"33"	"75"	"77"	"1048861"	"Lechevalieria flava"	9745282	1408200	15.1638	69.05	"uniq"	" 9328"	"4"	1.24142806850241	6.48646165792512e-07	21.6751039118211	0.00307744343605016
